fit_date, subtype_id, groups, times
2020-09-1,55,1,160
2020-09-1,56,2,20
2020-09-2,30,4,30
2020-09-3,55,1,200
2020-09-6,55,1,160
2020-09-6,56,2,20
2020-09-7,30,2,30
2020-09-7,25,1,25
2020-09-7,44,1,50
2020-09-7,44,1,20
2020-09-8,55,1,160
2020-09-8,56,2,20
2020-09-9,35,2,12
2020-09-9,34,1,10
2020-09-9,34,2,8
2020-09-11,55,1,160
2020-09-11,56,2,20
2020-09-12,6,1,18
2020-09-12,6,2,20
2020-09-13,55,1,160
2020-09-13,56,2,20
2020-09-15,55,1,160
2020-09-15,56,2,20
2020-09-16,30,2,30
2020-09-16,25,1,25
2020-09-16,44,1,50
2020-09-16,44,1,20
2020-09-19,30,2,30
2020-09-19,25,1,25
2020-09-19,44,1,50
2020-09-19,44,1,20
2020-09-20,55,1,160
2020-09-20,56,2,20
2020-09-22,55,1,160
2020-09-22,56,2,20
2020-09-23,6,2,20
2020-09-25,55,1,160
2020-09-25,56,2,20
2020-09-27,55,1,160
2020-09-27,56,2,20
2020-09-28,44,1,50
2020-09-28,44,1,20
2020-09-28,35,5,10
2020-09-29,55,1,160
2020-09-29,56,2,20